corner_key,n,actual_mean_kph,actual_sd_kph,pred_mean_kph,bias_kph,mae_kph
Las Vegas|3,204,203.09780294731218,36.498115868201594,177.29468535888978,25.803117588422392,26.72830277498583
Abu Dhabi|9,84,200.28326900009316,5.410416667720082,175.46124534565192,24.822023654441246,24.822023654441246
Abu Dhabi|14,84,194.18979345937566,6.795210572763367,170.97695667546012,23.21283678391555,23.759910335449522
Abu Dhabi|1,84,190.20748976610963,4.6107969858045,166.71452038323528,23.49296938287436,23.49296938287436
Mexico City|5,86,149.8525849004951,10.383713154563047,127.2663587126207,22.58622618787441,22.64471162166755
Las Vegas|9,204,150.85390053732556,20.928546159598064,130.8381980573307,20.015702479994882,21.668061458214087
São Paulo|6,101,217.99156816476628,22.413988179192614,239.40850286027003,-21.41693469550375,21.446789051239435
São Paulo|12,101,169.71978631170086,11.426437137452062,149.73747131278338,19.982314998917495,20.87710291647602
Las Vegas|2,204,180.02125772757248,33.49934196558261,168.26815551822898,11.753102209343496,18.2758546536092
Mexico City|6,86,149.29160578554948,10.702578563028272,131.68171340612435,17.609892379425133,17.60989237942513
Las Vegas|16,204,207.3220980846373,25.980761309479007,193.06513339621964,14.256964688417673,17.29354931444017
Las Vegas|5,204,149.39852136321144,24.15717646609185,137.1015863323633,12.296935030848136,15.577158765327317
São Paulo|2,101,188.94618545400922,22.45242522748756,176.12152851306504,12.824656940944157,15.065206676332656
Las Vegas|6,204,232.82316194575165,41.97620687342544,237.6126864595236,-4.7895245137719265,14.56778039651854
São Paulo|8,101,112.67465378336803,8.875183014592332,126.75948858659778,-14.084834803229764,14.110019046570255
Mexico City|16,86,149.75286588023155,10.208263191915629,137.7758149073892,11.977050972842383,13.99986961046072
Mexico City|12,86,167.2445819241368,14.829537319124405,180.19754245736812,-12.952960533231291,13.785510517303653
Mexico City|17,86,224.65477855192606,9.415376591086492,211.65369113295745,13.001087418968615,13.730102776601132
Abu Dhabi|2,84,258.04949452988905,1.7826005096918112,244.64649256552613,13.403001964362861,13.403001964362861
Abu Dhabi|3,84,272.95296333045917,1.7593116578918948,259.8425002012348,13.110463129224307,13.110463129224307
Las Vegas|4,204,237.78777900575565,35.914220415221486,227.7525829149466,10.035196090809055,12.975008006519303
São Paulo|4,101,177.92516134831453,18.14445838810585,168.24227270037431,9.682888647940201,11.344974949085234
Abu Dhabi|7,84,171.99072781148493,7.864228823534513,161.33145203630764,10.659275775177298,11.289835736462068
Las Vegas|12,204,140.77204787152758,19.565953549449464,137.03549723932224,3.736550632205317,10.720396314605608
Las Vegas|11,204,267.2279860425912,50.48932194257495,273.12227275987846,-5.894286717287202,10.350278047279158
São Paulo|7,101,231.56466657532766,26.293138110290922,225.19726086818326,6.367405707144418,9.037553870922293
São Paulo|10,101,123.98687931256268,11.196398238849323,131.87569622981738,-7.888816917254677,8.54695745958024
Mexico City|10,86,194.11852897486762,13.340954232465382,188.30126142031634,5.8172675545513,8.267697607006072
São Paulo|9,101,140.49319970141025,11.426943227083399,143.9949961700225,-3.501796468612244,8.087211475865818
Abu Dhabi|15,84,261.0880315754914,1.6543044852459876,253.1756719612569,7.912359614234502,7.912359614234501
Mexico City|3,86,173.90984707498404,10.783515282249448,167.3069101445366,6.602936930447445,7.721101281269287
São Paulo|13,101,227.40852020593903,9.138726819744416,219.95293435038462,7.45558585555439,7.666957143060372
Las Vegas|17,204,313.3161131371309,23.420443502548757,307.1073622365257,6.208750900605149,7.44399993942599
Mexico City|9,86,236.73842007224604,19.750737467316227,242.71836295555198,-5.979942883305918,6.856162039751539
Abu Dhabi|16,84,163.71577540151554,10.6379625726745,160.3852096286329,3.3305657728826525,6.7553119083311675
Mexico City|7,86,197.6443691681898,14.492022687444434,197.9428749508868,-0.298505782696984,6.675832265641898
Las Vegas|13,204,301.8836748242977,29.669301354894706,297.0010118865071,4.8826629377905935,6.632536375364999
São Paulo|11,101,238.63077365674474,27.66217500314447,233.27453797439887,5.356235682345859,6.5145334945912134
Abu Dhabi|4,84,288.28764235171525,1.7315016925973281,281.95502715014186,6.3326152015734225,6.332615201573421
Abu Dhabi|8,84,262.7030772292651,2.678742343991506,256.6824406234589,6.020636605806201,6.0206366058062
Mexico City|11,86,235.883661987735,11.824783267113714,230.34199196584018,5.541670021894802,5.968501985083023
Abu Dhabi|13,84,160.7215042916701,6.250268819641546,166.07296316488822,-5.351458873218111,5.947053943633059
Las Vegas|10,204,268.59307852231075,36.79713593369404,267.3161699107768,1.276908611533924,5.570250914902745
Abu Dhabi|5,84,155.86812711700057,6.9710235644002605,152.39032866606226,3.4777984509383284,5.114399513963507
São Paulo|5,101,245.76552065772304,20.725818151259556,241.22585949781464,4.539661159908429,4.9844122229297145
Abu Dhabi|12,84,143.73731993511433,6.591687715017266,143.23925094098308,0.4980689941312673,4.33135679251184
Abu Dhabi|10,84,277.0623014584168,1.4953123324439224,273.9735038598277,3.0887975985891507,3.0887975985891507
São Paulo|15,101,317.75723159924064,8.824720588246466,315.3865527264738,2.370678872766856,2.532351825018721
São Paulo|3,101,249.88662404178604,34.239398840608914,250.68181992827806,-0.7951958864920211,2.3265483451740616
São Paulo|14,101,277.7399331008394,8.763686389311728,277.69715324013293,0.04277986070646487,1.6732510416397728
