features,n_features,mae_kph,rmse_kph,r2,n,subset
all features,32,9.165659484070744,12.206677503763679,0.9524463477922375,4558,push laps
only entry telemetry,19,12.24049620814477,16.860525100999716,0.909274132877452,4558,push laps
only circuit geometry,5,15.615127793117534,18.868529348993064,0.8863773173189922,4558,push laps
only session conditions,8,51.96482462428976,62.43830328312882,-0.2442026481324142,4558,push laps
without entry telemetry,13,14.715933011016189,17.9271727231463,0.8974318455499961,4558,push laps
without circuit geometry,27,13.027335122468388,17.08092065781178,0.9068867498179861,4558,push laps
without session conditions,24,9.155685929405843,12.560508175217318,0.9496495499738926,4558,push laps
