event_round,event_name,driver,team,lap_time_s,session_best_s,gap_s
21,Las Vegas Grand Prix,TSU,AlphaTauri,96.447,92.726,3.721
21,Las Vegas Grand Prix,VER,Red Bull Racing,93.104,92.726,0.378
21,Las Vegas Grand Prix,ZHO,Alfa Romeo,94.849,92.726,2.123
22,Abu Dhabi Grand Prix,ALB,Williams,84.298,83.445,0.853
22,Abu Dhabi Grand Prix,ALO,Aston Martin,84.084,83.445,0.639
22,Abu Dhabi Grand Prix,BOT,Alfa Romeo,84.788,83.445,1.343
22,Abu Dhabi Grand Prix,GAS,Alpine,84.078,83.445,0.633
22,Abu Dhabi Grand Prix,HAM,Mercedes,84.359,83.445,0.914
22,Abu Dhabi Grand Prix,HUL,Haas F1 Team,84.108,83.445,0.663
22,Abu Dhabi Grand Prix,LEC,Ferrari,83.584,83.445,0.139
22,Abu Dhabi Grand Prix,MAG,Haas F1 Team,84.764,83.445,1.319
22,Abu Dhabi Grand Prix,NOR,McLaren,83.816,83.445,0.371
22,Abu Dhabi Grand Prix,OCO,Alpine,84.391,83.445,0.946
22,Abu Dhabi Grand Prix,PER,Red Bull Racing,83.868,83.445,0.423
22,Abu Dhabi Grand Prix,PIA,McLaren,83.782,83.445,0.337
22,Abu Dhabi Grand Prix,RIC,AlphaTauri,84.442,83.445,0.997
22,Abu Dhabi Grand Prix,RUS,Mercedes,83.788,83.445,0.343
22,Abu Dhabi Grand Prix,SAI,Ferrari,84.738,83.445,1.293
22,Abu Dhabi Grand Prix,SAR,Williams,84.532,83.445,1.087
22,Abu Dhabi Grand Prix,STR,Aston Martin,84.405,83.445,0.96
22,Abu Dhabi Grand Prix,TSU,AlphaTauri,83.968,83.445,0.523
22,Abu Dhabi Grand Prix,VER,Red Bull Racing,83.445,83.445,0.0
22,Abu Dhabi Grand Prix,ZHO,Alfa Romeo,85.114,83.445,1.669
