distance_m,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
250.0,3.1148,3.1112,3.0994,3.1035,3.1384,3.1504,3.1266,3.1074,3.1465,3.196,3.1475,3.1462,3.147,3.1416,3.1409,3.1399,3.1395,3.1198,3.1178,3.1202,3.134,3.1144,3.1038,3.1092,3.1269,3.109,3.1585,3.1695,3.1503,3.1657,3.1575,3.1542,3.1341,3.117,3.1096,3.1362,3.1036,3.1022,3.0962,3.123,3.125,3.1131,3.1055,3.1164,3.1094,3.0972,3.1179,3.1119,3.2013,3.114,3.1042,3.1058,3.159,3.1298,3.1377,3.1359,3.1038,3.1359,3.1349,3.1329,3.1294,3.1437,3.1149,3.1458,3.1322,3.1474,3.13,3.1142,3.1154,3.137,3.1027,3.09,3.0898,3.0747,3.125,3.098,3.1161,3.1416,3.1183,3.1672,3.1746,3.1238,3.1096,3.1167,3.1067,3.1614,3.1727,3.1431
275.0,3.4081,3.4051,3.3926,3.3959,3.4359,3.447,3.4221,3.4021,3.4437,3.497,3.4453,3.4441,3.4443,3.4383,3.4378,3.4363,3.4375,3.4168,3.4142,3.4135,3.4288,3.4082,3.396,3.4037,3.4226,3.4027,3.4573,3.4671,3.4484,3.4668,3.4559,3.4548,3.4325,3.4101,3.402,3.4317,3.3983,3.3964,3.3886,3.4191,3.4196,3.4075,3.4001,3.4121,3.4047,3.3912,3.4133,3.4074,3.5003,3.4099,3.3999,3.4009,3.457,3.4263,3.4355,3.476,3.4009,3.4325,3.4295,3.4301,3.4244,3.4413,3.4096,3.4431,3.4281,3.4459,3.4271,3.4107,3.4085,3.432,3.3963,3.3835,3.3821,3.3677,3.4202,3.391,3.4118,3.4389,3.4111,3.4687,3.4699,3.4203,3.4041,3.4136,3.4031,3.4592,3.4716,3.4378
300.0,3.7011,3.6987,3.6842,3.6878,3.7313,3.7435,3.7139,3.6959,3.739,3.7971,3.7457,3.7406,3.744,3.7337,3.7352,3.7318,3.734,3.7122,3.7095,3.7071,3.7231,3.7042,3.6936,3.6959,3.7171,3.6957,3.7628,3.7653,3.7466,3.767,3.7517,3.7501,3.7275,3.7192,3.6946,3.735,3.6968,3.6896,3.6806,3.7124,3.7194,3.7004,3.6941,3.707,3.6991,3.6843,3.7069,3.7,3.7973,3.7012,3.6939,3.6949,3.7546,3.7218,3.7328,3.8451,3.699,3.7277,3.7224,3.7216,3.718,3.7352,3.7024,3.7417,3.7235,3.7429,3.7229,3.7091,3.7016,3.7245,3.6916,3.6762,3.6773,3.6601,3.7152,3.6829,3.7056,3.7336,3.7068,3.7688,3.7522,3.7147,3.6999,3.7053,3.6992,3.7566,3.7685,3.7446
325.0,4.0013,3.9913,3.993,4.0013,4.049,4.0352,4.0265,3.9929,4.0527,4.1087,4.0651,4.0483,4.0456,4.0415,4.0359,4.0561,4.0392,4.0075,4.0289,4.0532,4.04,4.0226,4.0229,4.0077,4.0131,3.9993,4.0981,4.07,4.0507,4.0803,4.0758,4.0678,4.0386,4.07,4.0017,4.0807,4.0312,3.9988,3.9916,4.0128,4.0405,3.9935,4.0041,4.0045,4.0004,3.9855,4.0075,4.0058,4.1409,4.016,4.009,3.9954,4.0558,4.0376,4.0318,4.2297,4.0273,4.0373,4.0321,4.0218,4.0137,4.0488,4.0427,4.043,4.0451,4.0438,4.0225,4.023,4.0175,4.0529,4.0237,4.0021,3.9893,3.9648,4.0172,4.0225,4.0152,4.0475,4.0412,4.0772,4.0416,4.0276,4.0169,4.0061,4.0256,4.0788,4.0732,4.0834
350.0,4.3444,4.3808,4.3723,4.3233,4.4096,4.4006,4.3663,4.3392,4.4121,4.5016,4.4422,4.4208,4.3733,4.4097,4.3749,4.4338,4.4055,4.3575,4.4165,4.4332,4.402,4.4024,4.4572,4.3624,4.3736,4.307,4.4886,4.4125,4.4698,4.4301,4.4709,4.4428,4.4319,4.4855,4.3966,4.4931,4.44,4.4015,4.4032,4.357,4.4328,4.3598,4.3323,4.3235,4.3459,4.3359,4.3667,4.4078,4.5164,4.4123,4.3515,4.3711,4.4136,4.4189,4.3604,4.6524,4.4123,4.4309,4.4068,4.384,4.3599,4.4633,4.4229,4.3666,4.4079,4.3977,4.3675,4.4001,4.3992,4.4485,4.4373,4.3917,4.3977,4.3252,4.3745,4.5251,4.3655,4.387,4.4217,4.4746,4.3723,4.4025,4.3999,4.3605,4.4337,4.4767,4.4405,4.5058
375.0,4.7781,4.8785,4.8467,4.7402,4.8639,4.8678,4.8171,4.8125,4.8358,4.9943,4.9144,4.8984,4.7896,4.8491,4.8256,4.9044,4.8795,4.8622,4.9221,4.9021,4.8677,4.89,4.9705,4.8112,4.8365,4.7958,5.0203,4.861,4.9871,4.8871,4.9812,4.9393,4.9176,5.0022,4.8746,5.0892,4.955,4.9044,4.8681,4.7907,4.9289,4.8242,4.7224,4.7901,4.7791,4.7886,4.8369,4.8954,4.9811,4.8784,4.8226,4.837,4.873,4.8897,4.7814,5.208,4.8926,4.8989,4.8791,4.8437,4.7842,4.9472,4.9854,4.7694,4.8676,4.8652,4.8267,4.8934,4.8891,4.9452,4.9192,4.89,4.9174,4.7819,4.8195,5.1135,4.8557,4.8013,4.8841,4.9717,4.8179,4.9032,4.8611,4.8115,4.9334,5.0019,4.9377,5.0579
400.0,5.3393,5.4762,5.4291,5.311,5.4714,5.4685,5.3728,5.4188,5.4055,5.6107,5.5004,5.4905,5.3202,5.4088,5.4003,5.4738,5.4353,5.4177,5.5117,5.5179,5.4471,5.4738,5.593,5.3747,5.4002,5.3643,5.6385,5.4396,5.5944,5.4773,5.5574,5.5215,5.4934,5.6144,5.4493,5.7655,5.5506,5.4888,5.4321,5.3665,5.5453,5.4017,5.2516,5.354,5.3271,5.3392,5.4019,5.4734,5.5253,5.4507,5.3843,5.3843,5.4514,5.4808,5.33,5.8554,5.5226,5.495,5.4451,5.5164,5.3379,5.5238,5.6176,5.3113,5.4548,5.4496,5.3846,5.4811,5.5105,5.555,5.5294,5.4802,5.5097,5.3601,5.3872,5.7397,5.4554,5.361,5.4958,5.6033,5.4164,5.4994,5.4236,5.3687,5.5277,5.6543,5.5447,5.69
425.0,5.9758,6.1066,6.0717,5.9692,6.1486,6.1348,6.0387,6.0846,6.0657,6.2768,6.1635,6.1492,5.9302,6.0483,6.0186,6.1324,6.0669,6.0706,6.1776,6.201,6.1111,6.1212,6.2464,6.0184,6.0318,5.9863,6.3234,6.1082,6.2534,6.1362,6.1969,6.1635,6.1484,6.2854,6.1011,6.4402,6.196,6.1277,6.0669,6.0208,6.2129,6.0412,5.8873,5.9941,5.9558,5.9463,6.0406,6.1179,6.1776,6.1056,6.0164,5.9993,6.1155,6.1169,5.9906,6.5247,6.1984,6.1448,6.1081,6.1756,5.968,6.1727,6.278,5.9326,6.0875,6.1137,5.9997,6.1292,6.1966,6.2194,6.1788,6.1244,6.1631,6.0046,6.0705,6.4147,6.1191,5.9958,6.1634,6.2885,6.124,6.1712,6.0711,6.006,6.1614,6.3743,6.236,6.3666
435.8,6.27,6.3874,6.3681,6.2637,6.447,6.4283,6.3331,6.3671,6.3954,6.5681,6.4462,6.4492,6.2062,6.3437,6.3008,6.4179,6.3455,6.3544,6.45,6.4931,6.4034,6.399,6.5203,6.3016,6.3168,6.2581,6.6198,6.409,6.5385,6.4294,6.4746,6.4496,6.4461,6.5683,6.39,6.7053,6.4721,6.3984,6.3381,6.313,6.4946,6.317,6.1789,6.2753,6.2406,6.2124,6.3289,6.4033,6.4686,6.3924,6.2933,6.2718,6.4007,6.4001,6.2938,6.7875,6.4843,6.4249,6.4136,6.4651,6.2583,6.4551,6.561,6.2163,6.3647,6.4011,6.2811,6.4087,6.4904,6.5047,6.4558,6.4,6.4408,6.2807,6.4085,6.6901,6.4056,6.2877,6.4606,6.5858,6.4382,6.4705,6.3584,6.2968,6.4375,6.6776,6.5285,6.6483
450.0,6.6407,6.7421,6.7408,6.64,6.8088,6.7885,6.6968,6.7056,6.841,6.9372,6.7925,6.8141,6.5802,6.706,6.668,6.7772,6.6851,6.7061,6.7833,6.8538,6.7636,6.7386,6.8541,6.6504,6.6703,6.5986,6.9838,6.7749,6.8835,6.7903,6.8293,6.8031,6.817,6.9158,6.7459,7.033,6.8121,6.737,6.6651,6.6776,6.847,6.6655,6.5437,6.6201,6.6008,6.552,6.6959,6.7616,6.8262,6.7382,6.6411,6.6085,6.7566,6.7604,6.6781,7.1104,6.8359,6.7689,6.7966,6.8123,6.6258,6.8086,6.9111,6.5714,6.6919,6.7525,6.6338,6.7567,6.8486,6.8563,6.7881,6.7374,6.7781,6.6328,6.8667,7.0325,6.7612,6.6599,6.8206,6.9424,6.8127,6.8303,6.722,6.6646,6.7692,7.039,6.8975,6.9918
