formation_days,entry_z,max_pairs,cost_bps_per_side,is_default,n_oos_days,gross_sharpe,gross_ann_return,net_sharpe,net_ann_return,net_ann_vol,net_max_drawdown,ann_turnover,net_cumulative
126,2.5,5,2,False,4788,-0.1055776,-0.0025155106,-0.15532672,-0.0035901347,0.021648442,-0.14387315,3.9368421,-0.066052731
126,2.5,5,5,False,4788,-0.1055776,-0.0025155106,-0.2097594,-0.0047665549,0.02166117,-0.15814295,3.9368421,-0.086782382
126,2.5,5,10,False,4788,-0.1055776,-0.0025155106,-0.30020411,-0.0067243914,0.021692092,-0.18140193,3.9368421,-0.12031812
126,2.5,5,20,False,4788,-0.1055776,-0.0025155106,-0.47952434,-0.010629346,0.021790129,-0.22601895,3.9368421,-0.18375326
126,2.5,20,0,False,4788,-0.27501228,-0.0035937782,-0.2919185,-0.0038097452,0.012795217,-0.087183174,2.4578947,-0.069956011
126,2.5,20,1,False,4788,-0.27501228,-0.0035937782,-0.31115652,-0.0040545575,0.012794043,-0.089940331,2.4578947,-0.074289003
126,2.5,20,2,False,4788,-0.27501228,-0.0035937782,-0.33039236,-0.0042993127,0.012793091,-0.092689195,2.4578947,-0.078601861
126,2.5,20,5,False,4788,-0.27501228,-0.0035937782,-0.38807683,-0.0050332358,0.01279156,-0.10088628,2.4578947,-0.091420565
126,2.5,20,10,False,4788,-0.27501228,-0.0035937782,-0.48408086,-0.0062553,0.012793432,-0.11757463,2.4578947,-0.11239103
126,2.5,20,20,False,4788,-0.27501228,-0.0035937782,-0.67513051,-0.0086951552,0.012813745,-0.15695739,2.4578947,-0.1528948
126,2.5,50,0,False,4788,-0.25494268,-0.0021118022,-0.2701587,-0.0022360565,0.0081627613,-0.046091453,1.2652632,-0.04164082
126,2.5,50,1,False,4788,-0.25494268,-0.0021118022,-0.28575938,-0.00236227,0.0081598975,-0.047778006,1.2652632,-0.043941549
126,2.5,50,2,False,4788,-0.25494268,-0.0021118022,-0.30136643,-0.0024884685,0.008157158,-0.049461593,1.2652632,-0.046236773
